population,lr,depth,reg,RMSE
0,0.0941,10,2.3862,48.5709
0,0.0985,4,3.7819,50.1271
0,0.1366,5,4.3804,49.6504
0,0.1331,4,2.5622,49.211
0,0.0444,5,0.7752,50.2279
0,0.0542,7,2.0841,49.6499
0,0.0835,6,3.1516,50.0668
0,0.0935,4,0.8725,48.18
0,0.0943,9,0.2081,49.3256
0,0.1006,4,3.5464,49.9724
0,0.1451,6,3.3773,47.5179
0,0.0501,6,0.7693,49.9837
0,0.0937,4,3.5584,49.4978
0,0.1062,6,2.8219,48.6221
0,0.0567,8,0.6829,49.8062
0,0.1465,3,1.1296,50.1988
0,0.1228,4,4.5274,50.6405
0,0.1158,7,1.4151,48.1979
0,0.1425,3,4.6985,50.3043
0,0.0941,5,2.9334,49.419
0,0.0753,6,1.4167,49.9842
0,0.1043,5,3.6314,49.9786
0,0.1376,6,2.8604,49.7019
0,0.0672,6,4.8751,50.7913
0,0.108,5,3.3174,50.3844
0,0.0943,9,0.4073,50.4015
0,0.086,5,0.6702,49.2092
0,0.1267,7,4.5335,48.5388
0,0.1426,5,3.7821,50.5967
0,0.0791,6,0.782,47.9835
0,0.1185,5,2.7118,49.2218
0,0.1488,7,4.9143,49.235
0,0.0968,4,4.6013,50.4292
0,0.0673,9,0.6696,49.781
0,0.1373,8,0.8014,48.6627
0,0.0468,8,1.0366,50.725
0,0.1433,9,0.1694,50.2126
0,0.1104,10,2.6496,48.5492
0,0.1089,9,0.5336,48.6454
0,0.1394,10,2.4431,48.4664
0,0.1174,6,1.2338,48.4419
0,0.1486,9,4.0089,50.5844
0,0.1155,4,0.7301,49.5835
0,0.062,8,3.391,50.8104
0,0.0832,7,0.0452,49.6844
0,0.0643,6,3.3539,50.5123
0,0.0507,5,2.2502,49.7378
0,0.1412,6,4.9271,49.2102
0,0.1102,3,2.9378,49.6934
0,0.1104,9,0.3933,50.3794
0,0.1346,7,4.1274,48.4877
0,0.1195,8,2.3096,48.3146
0,0.101,9,3.6741,49.6959
0,0.0776,4,4.0534,50.3739
0,0.0674,10,0.7334,49.5939
0,0.1036,7,0.9559,48.8516
0,0.0528,8,1.1986,50.5877
0,0.085,3,2.7531,50.8171
0,0.0996,5,3.0016,49.3706
0,0.0914,9,4.8971,50.4513
0,0.1427,8,2.3454,49.1753
0,0.1106,4,4.9926,50.2626
0,0.1074,7,3.4852,49.8705
0,0.0974,7,0.8461,48.9586
0,0.1453,5,4.2096,50.8435
0,0.1181,8,1.3762,48.6386
0,0.1218,4,1.737,50.2089
0,0.0486,5,2.5113,50.3336
0,0.1317,3,3.4084,49.9863
0,0.1236,4,1.7507,49.4397
0,0.1131,4,3.9986,50.1448
0,0.057,9,0.5121,50.2072
0,0.1295,7,3.2497,48.8813
0,0.1051,6,1.1607,49.8729
0,0.1257,5,4.5587,49.9364
0,0.1191,7,4.2903,49.1183
0,0.06,7,4.6446,50.7364
0,0.1203,5,3.7491,49.4182
0,0.0541,7,2.0387,49.3749
0,0.1238,7,0.9858,47.71
0,0.1044,7,3.7616,49.6234
0,0.1428,6,4.1604,49.4583
0,0.0827,6,1.3258,48.6212
0,0.0756,8,1.6252,50.5615
0,0.1298,6,4.7359,49.6716
0,0.0703,6,3.6506,50.608
0,0.0881,5,3.7506,50.4639
0,0.1108,5,4.1825,50.1867
0,0.0951,8,2.3488,50.2243
0,0.0973,5,2.018,48.8008
0,0.1029,6,3.2054,50.2338
0,0.0575,4,0.386,49.9314
0,0.1279,6,1.9152,49.2981
0,0.1215,10,1.3023,49.0306
0,0.1433,9,1.2493,49.6371
0,0.1195,10,2.557,47.7947
0,0.1327,6,4.3568,49.1641
0,0.0921,6,4.2457,49.81
0,0.0918,5,0.1517,49.6018
0,0.1128,9,1.3657,50.0322
1,0.1257,6,2.3208,47.5255
1,0.1511,6,4.9607,48.1721
1,0.1062,6,0.7334,48.3304
1,0.1289,7,0.9962,47.9725
1,0.1277,8,3.2824,47.961
1,0.1254,7,3.7347,47.7633
1,0.1497,5,3.566,48.3359
1,0.1257,8,1.8594,47.1982
1,0.1513,10,3.5584,48.2353
1,0.1479,6,3.7552,47.3108
1,0.1454,4,1.6306,48.0725
1,0.1515,8,2.918,48.2698
1,0.1284,10,4.7309,48.2088
1,0.1868,6,3.0805,48.338
1,0.1287,5,1.3191,48.1529
1,0.1462,6,3.3855,47.7156
1,0.1257,8,2.3619,47.8687
1,0.1308,8,3.4552,48.2201
1,0.1366,7,3.1169,48.2454
1,0.1144,8,1.7965,47.582
1,0.1234,8,3.2437,47.9063
1,0.1352,7,1.8049,48.2783
1,0.1511,6,4.9607,48.1721
1,0.0936,8,1.1882,48.1297
1,0.1534,6,2.429,48.0164
1,0.1314,10,1.1296,47.9266
1,0.1213,8,0.6879,47.4866
1,0.1501,4,2.1352,48.404
1,0.1469,8,4.6446,47.8376
1,0.141,8,2.6712,48.3576
1,0.1759,6,1.8462,48.044
1,0.1426,10,1.3525,48.152
1,0.168,8,1.7943,48.2502
1,0.1276,8,2.8401,47.764
1,0.1249,7,2.6722,48.26
1,0.1511,6,4.245,47.5929
1,0.1317,8,0.9991,48.1822
1,0.1776,6,2.0387,47.2695
1,0.1265,6,1.4744,47.7807
1,0.147,6,3.4987,47.328
1,0.1327,7,1.3384,47.9346
1,0.1257,8,2.3619,47.8687
1,0.1067,8,1.4897,47.9972
1,0.111,4,1.063,48.1113
1,0.1289,7,1.3762,48.3892
1,0.1507,6,4.659,48.285
1,0.1319,6,1.7889,47.1276
1,0.1295,10,3.2938,48.2205
1,0.1464,5,3.1788,48.424
1,0.1762,6,0.5406,48.2351
1,0.1139,6,2.2831,48.3666
1,0.1218,10,1.9648,47.8417
1,0.1325,10,1.3395,47.7559
1,0.1478,6,3.8864,48.3168
1,0.1195,8,1.8397,48.2116
1,0.1404,7,4.1413,48.1255
1,0.117,8,0.6654,47.5259
1,0.1565,8,2.6352,48.1438
1,0.1365,6,3.5219,48.2525
1,0.1289,7,0.9962,47.9725
1,0.1409,10,4.1653,47.95
1,0.1167,7,1.4275,48.1705
1,0.1385,10,4.1126,48.3606
1,0.1707,10,2.0824,47.9716
1,0.1773,6,2.1917,48.064
1,0.1409,10,4.1653,47.95
1,0.1432,6,2.7516,48.2574
1,0.1482,6,3.4445,48.0143
1,0.1849,6,3.8151,48.1458
1,0.1326,8,0.8559,47.7028
1,0.2003,6,5.9161,47.7658
1,0.1778,10,3.1913,48.3499
1,0.1585,6,3.3971,47.8262
1,0.1469,6,3.2114,48.2074
1,0.1788,6,2.1684,47.6499
1,0.1752,6,3.7616,48.3048
1,0.1877,6,3.0694,48.2134
1,0.1333,6,3.2557,48.1
1,0.1672,8,3.5693,48.2992
1,0.1236,6,0.8461,47.4356
1,0.1337,6,0.9559,47.2943
1,0.1321,10,3.1416,47.6751
1,0.1277,8,3.2824,47.961
1,0.1586,8,4.2287,47.5741
1,0.1233,6,1.5986,48.3615
1,0.1216,6,0.9559,47.6549
1,0.125,7,3.6408,47.9982
1,0.1658,7,5.6931,48.076
1,0.1334,6,3.1131,48.1107
1,0.1595,8,4.1353,48.3792
1,0.1429,6,5.5366,47.99
1,0.138,6,2.2684,48.3866
1,0.1395,8,1.8945,48.2758
1,0.1306,7,2.7351,47.6251
1,0.1429,6,3.051,48.2983
1,0.1584,6,3.236,48.2334
1,0.1578,6,2.9768,48.0037
1,0.1768,10,4.7354,47.9054
1,0.1372,8,3.0578,48.1226
1,0.117,8,0.6654,47.5259
2,0.114,6,0.5556,47.769
2,0.1311,6,0.9521,46.0842
2,0.1232,6,0.9294,46.6307
2,0.1126,7,1.3862,47.6745
2,0.1438,6,2.5113,47.2055
2,0.1034,8,1.5014,47.8082
2,0.1274,10,1.3193,47.7343
2,0.1634,6,0.8277,47.7504
2,0.1257,6,2.1693,47.6426
2,0.1402,8,2.4731,47.5144
2,0.127,6,0.9234,47.5511
2,0.1139,4,0.824,47.8212
2,0.1692,6,2.2334,47.7624
2,0.1153,6,0.7841,47.2153
2,0.1271,6,0.8929,47.8794
2,0.1641,6,0.9054,46.0164
2,0.1454,8,0.8886,47.4164
2,0.1594,4,2.4262,47.9248
2,0.1434,6,0.6088,47.5427
2,0.1142,6,0.0,47.9031
2,0.1386,4,1.461,47.703
2,0.108,6,1.0643,47.7795
2,0.1207,8,0.483,47.684
2,0.1255,6,2.0038,47.5008
2,0.1173,4,1.3316,47.8243
2,0.148,6,3.7267,46.6007
2,0.1367,6,0.9453,47.2279
2,0.1279,7,0.9559,47.6323
2,0.0893,7,0.8697,47.3532
2,0.1226,8,0.5253,47.4265
2,0.1166,6,1.0827,47.9248
2,0.1286,8,1.4844,47.0522
2,0.1044,6,0.0601,47.0342
2,0.1337,6,0.7214,46.6346
2,0.1263,7,0.0,47.6415
2,0.1416,8,2.841,47.4391
2,0.1172,6,0.495,47.7206
2,0.1212,6,0.7659,47.194
2,0.1319,6,1.7889,47.1276
2,0.1319,6,1.7889,47.1276
2,0.1292,6,0.7573,47.8265
2,0.0996,7,0.0,46.5958
2,0.1272,7,0.0,47.2202
2,0.1239,6,0.8975,47.4199
2,0.1121,6,0.6689,47.6558
2,0.1098,7,0.4306,46.9251
2,0.1242,7,1.0082,47.8272
2,0.1481,10,3.4664,47.4302
2,0.0965,6,0.7388,47.8993
2,0.1605,10,2.3418,47.8577
2,0.1055,8,1.1393,47.9079
2,0.1187,6,0.6055,47.301
2,0.1379,5,1.2096,47.9261
2,0.1573,6,1.9292,47.8865
2,0.1084,8,1.2506,47.8973
2,0.1624,6,0.0,47.5668
2,0.1158,8,0.9855,46.9984
