population,lr,depth,reg,RMSE
0,0.1372,5,3.1827,50.1796
0,0.0965,6,1.8552,49.5869
0,0.1427,6,1.1046,50.1978
0,0.1199,7,3.8022,49.4864
0,0.0776,10,1.5375,50.7137
0,0.0944,9,0.678,50.5079
0,0.1018,6,3.0502,49.3048
0,0.1373,5,2.9782,49.8246
0,0.1025,9,2.4451,50.3635
0,0.103,10,0.8148,49.7525
0,0.0781,4,3.7903,48.9706
0,0.0836,4,1.0749,49.8026
0,0.1345,5,2.583,50.5662
0,0.0747,7,2.5225,48.1166
0,0.1432,7,4.9909,49.7804
0,0.0913,8,2.7662,49.4691
0,0.1067,4,1.5065,49.9157
0,0.0957,3,3.6348,49.6024
0,0.0847,3,0.1857,49.8498
0,0.1373,4,3.9561,49.0824
0,0.1295,4,1.5414,49.5599
0,0.1204,7,4.0421,50.1356
0,0.1487,6,2.7331,49.5364
0,0.0989,7,0.7406,48.3133
0,0.0725,5,3.4313,49.302
0,0.0742,9,1.5727,49.876
0,0.126,8,3.3933,47.6545
0,0.0839,5,0.5928,49.1321
0,0.1234,10,0.9465,47.9158
0,0.1076,5,4.1105,50.0784
0,0.0844,8,2.8892,49.1515
0,0.0836,5,4.4896,49.073
0,0.1097,9,4.7638,50.5332
0,0.1152,7,3.3763,50.2404
0,0.0779,7,1.855,49.2547
0,0.1406,10,4.1465,47.6554
0,0.081,10,1.5053,48.7662
0,0.1272,6,4.7367,50.1087
0,0.0639,6,3.9672,50.5648
0,0.087,6,1.8983,48.7119
0,0.1096,4,3.6616,49.8471
0,0.1357,8,1.7331,48.7178
0,0.1153,5,1.7458,49.9593
0,0.1386,9,0.364,49.8886
0,0.1254,7,2.3215,49.0781
0,0.1424,9,2.8446,50.5879
0,0.0932,6,3.4156,49.6717
0,0.141,7,1.1043,50.514
0,0.1301,6,3.4492,50.2309
0,0.0612,8,0.8721,50.248
0,0.1298,7,4.2246,48.8453
0,0.0709,5,1.8076,49.4427
0,0.1307,6,3.5398,49.9871
0,0.0709,5,0.46,49.5525
0,0.1286,8,0.6463,48.5751
0,0.0967,8,4.9522,49.3177
0,0.1208,8,0.6682,48.5837
0,0.1145,6,4.9448,49.7873
0,0.1025,4,2.1083,49.2796
0,0.1218,3,4.0752,50.3814
0,0.0555,8,0.4002,49.4126
0,0.0841,4,4.3031,49.9081
0,0.1194,10,3.1459,48.149
0,0.1079,7,2.869,50.0869
0,0.0574,7,3.658,50.0938
0,0.072,8,3.5304,50.212
0,0.136,6,4.9288,50.1565
0,0.1078,5,0.8837,47.5745
0,0.1341,4,0.6916,47.8237
0,0.0943,7,0.5553,49.5688
0,0.0949,4,3.3781,49.2679
0,0.1316,7,0.078,49.1487
0,0.0934,8,2.6881,48.7884
0,0.1305,10,0.4136,48.9021
0,0.1217,7,1.0194,48.4205
0,0.0864,7,4.0655,49.3369
0,0.1288,9,3.6574,50.1559
0,0.1412,9,4.7098,50.0542
0,0.0873,9,0.629,48.848
0,0.078,9,0.639,48.6229
0,0.0711,5,1.7189,49.8162
0,0.1016,9,4.4412,50.7699
0,0.0933,6,1.5052,50.1387
0,0.1468,3,3.2003,49.1498
0,0.1306,4,4.2627,49.7322
0,0.1325,5,4.3307,49.7385
0,0.1084,6,3.827,49.8911
0,0.0975,6,0.4601,49.5075
0,0.0996,10,0.5048,50.0432
0,0.1349,10,2.0083,48.3158
0,0.1169,3,4.6515,50.7303
0,0.1044,10,0.8827,47.4923
0,0.1197,8,3.1739,50.6694
0,0.1336,10,4.8458,48.4204
0,0.1301,6,4.3695,49.7189
0,0.0657,5,3.9087,49.074
0,0.0793,7,2.7651,49.9619
0,0.0767,6,3.8846,49.822
0,0.0905,6,3.2571,49.4705
0,0.102,6,1.1394,49.0217
1,0.1132,8,0.7209,48.3713
1,0.1094,10,0.01,47.5455
1,0.1,8,0.01,48.3612
1,0.1344,10,1.1494,47.3865
1,0.1031,8,1.0718,48.1635
1,0.0975,8,0.01,47.8692
1,0.1268,7,2.2316,48.1511
1,0.1097,8,2.3855,47.9861
1,0.0922,10,2.0772,48.3077
1,0.105,7,0.2354,48.3111
1,0.1303,10,1.0947,47.9413
1,0.127,8,2.5629,48.1579
1,0.1156,8,0.01,48.3229
1,0.1244,7,3.2044,48.0127
1,0.1371,6,3.4977,47.647
1,0.1153,10,1.2841,46.4763
1,0.1317,10,2.0083,47.7414
1,0.1222,10,2.1467,47.8168
1,0.1316,10,3.3708,48.335
1,0.0902,10,1.7178,48.354
1,0.1337,10,1.7013,48.3005
1,0.1244,7,1.889,47.481
1,0.147,10,2.2046,48.2247
1,0.1047,6,2.2741,48.2529
1,0.1304,10,2.2471,48.2221
1,0.0867,10,0.01,47.4126
1,0.1396,6,1.8899,48.0236
1,0.1156,6,1.4464,48.3208
1,0.1328,10,3.4959,48.2357
1,0.138,10,2.2687,48.3389
1,0.1082,10,1.0652,47.6041
1,0.0956,10,0.7634,48.281
1,0.141,5,1.1456,48.1688
1,0.1325,10,1.1022,48.2191
1,0.097,8,1.5018,47.5189
1,0.1123,6,0.2762,48.0219
1,0.1064,8,0.5443,47.6107
1,0.112,7,0.393,47.2784
1,0.0658,10,0.3307,48.3138
1,0.1203,8,0.9273,47.9946
1,0.0986,10,0.8191,47.3083
1,0.0839,10,0.01,47.9743
1,0.1039,9,1.2479,48.0478
1,0.1341,10,2.9829,47.9846
1,0.1153,10,0.2763,48.3388
1,0.1362,7,2.8979,48.4023
1,0.0983,8,1.3092,48.3736
1,0.0917,9,0.7406,48.359
1,0.1145,10,0.684,48.0216
1,0.0886,6,0.866,47.1433
1,0.0948,10,0.3787,48.39
1,0.1365,7,3.1248,48.3071
1,0.0975,8,0.8826,47.8275
1,0.1307,4,1.2599,47.8809
1,0.1166,6,0.7422,47.46
1,0.1197,10,2.276,47.9766
1,0.1345,10,4.1341,47.9898
1,0.0893,10,1.8983,48.1465
1,0.1101,7,1.0294,47.0731
1,0.133,10,1.0416,47.4294
1,0.0918,8,0.7868,47.808
1,0.138,10,4.0996,48.3658
1,0.1011,8,0.01,47.8613
1,0.1316,7,0.9975,48.039
1,0.0919,10,1.8003,47.793
1,0.1147,6,1.0489,47.6929
1,0.0987,10,2.4379,48.0086
1,0.1082,8,1.3151,47.8769
1,0.1065,10,1.3187,47.6498
1,0.1286,10,2.3281,48.1709
1,0.1296,10,2.1839,47.8716
1,0.0916,8,0.8283,47.1035
1,0.0782,7,0.01,47.8046
1,0.0864,10,0.01,48.3129
1,0.1201,7,1.0189,47.2574
1,0.109,10,0.8582,47.0395
1,0.1525,10,4.9377,47.947
1,0.1001,10,2.1332,48.0539
1,0.08,10,0.01,47.9518
1,0.0994,10,1.5065,46.7399
1,0.1269,10,2.3218,48.4129
1,0.104,10,2.023,48.0267
1,0.1167,10,1.9301,47.9259
1,0.0929,7,1.4588,48.2523
1,0.1281,8,3.2302,48.3532
1,0.1345,10,0.9613,46.5441
1,0.115,10,2.0993,48.3583
1,0.1124,7,0.3868,47.2941
1,0.1252,8,2.3211,47.8652
1,0.1182,10,2.6769,48.2817
1,0.135,8,3.1098,48.4219
1,0.1306,8,0.542,47.6847
1,0.0982,8,0.7143,47.3252
1,0.0999,8,1.4216,48.1471
1,0.1079,8,2.0601,48.0023
1,0.1113,8,0.0907,47.489
1,0.1306,8,2.0464,47.1553
1,0.0947,10,0.3605,47.8613
1,0.1112,7,0.01,47.9765
1,0.09,10,1.3599,48.2153
2,0.1009,8,1.0416,47.1728
2,0.1429,10,2.7093,47.1736
2,0.1253,10,1.6403,47.023
2,0.1134,7,1.4479,47.2635
2,0.1169,10,1.4653,47.942
2,0.1104,10,1.4744,47.8047
2,0.113,10,2.3322,47.581
2,0.1296,10,1.9808,47.5435
2,0.0956,10,0.9461,47.6136
2,0.115,6,1.4911,47.5139
2,0.0992,10,1.2322,47.029
2,0.116,10,2.3405,47.7846
2,0.1143,10,1.1855,47.256
2,0.1151,10,1.4065,47.4501
2,0.1333,10,2.3107,47.5284
2,0.1191,10,1.7576,47.729
2,0.1004,10,0.7038,47.9339
2,0.1096,10,1.0404,47.9247
2,0.1074,10,1.9228,47.879
