population,lr,depth,reg,RMSE
0,0.1091,5,0.2894,49.6443
0,0.1179,4,1.7178,50.343
0,0.0783,9,3.0297,50.7428
0,0.1414,10,2.2016,47.2232
0,0.1267,7,2.1718,48.4231
0,0.063,8,2.4432,50.5185
0,0.1286,6,2.4285,48.5798
0,0.1093,8,0.7878,47.3614
0,0.0843,8,3.7839,50.2411
0,0.1065,10,0.7795,46.392
0,0.0635,5,1.3025,48.9506
0,0.0693,7,2.6032,49.0503
0,0.0689,6,0.0414,49.8143
0,0.1264,6,4.7942,49.132
0,0.0607,5,4.524,50.04
0,0.0933,4,0.4874,49.694
0,0.1498,10,0.659,47.689
0,0.0824,6,0.6485,47.4791
0,0.0765,9,0.9557,48.7994
0,0.1418,9,2.4651,50.148
0,0.1039,6,4.8187,50.3729
0,0.1291,6,2.2641,49.5078
0,0.0578,9,1.4688,50.3835
0,0.0641,7,3.4282,50.2119
0,0.0731,8,4.2813,50.4998
0,0.1149,10,1.7665,47.174
0,0.1439,6,0.7439,47.8445
0,0.1113,7,4.661,50.0075
0,0.1406,4,4.9555,49.8473
0,0.1172,4,1.6371,50.6115
0,0.0688,7,0.7361,47.9421
0,0.1234,10,2.7993,47.9519
0,0.1376,7,2.7261,49.9277
0,0.0519,5,3.8608,50.6013
0,0.0833,8,0.832,48.7021
0,0.0404,5,0.4279,50.7932
0,0.1212,6,0.8296,48.4444
0,0.1315,5,1.3993,49.9932
0,0.0796,8,4.4025,49.8715
0,0.0888,9,4.9159,50.7627
0,0.1241,10,3.8648,49.1259
0,0.0957,5,4.0372,50.3234
0,0.1083,8,3.0289,49.1711
0,0.1305,7,4.7896,49.2994
0,0.0834,6,0.2902,49.5004
0,0.132,10,1.5524,48.5409
0,0.1387,6,1.3737,49.2191
0,0.1236,4,2.0753,49.6497
0,0.0986,10,1.8069,47.9087
0,0.108,7,2.6869,49.4854
0,0.0927,8,3.2187,50.0625
0,0.108,4,1.9759,49.9042
0,0.0487,6,1.0042,50.2173
0,0.061,7,1.506,49.7463
0,0.0857,5,3.1748,50.461
0,0.1381,3,3.955,50.5667
0,0.1493,4,3.4757,50.0762
0,0.0956,5,0.0968,49.4506
0,0.1388,5,2.3067,50.4352
0,0.1342,9,0.8176,50.6974
0,0.1407,8,4.5065,48.6708
0,0.1248,5,1.9391,50.6706
0,0.0975,4,0.2273,49.0519
0,0.0835,6,2.8753,48.97
0,0.0948,6,3.539,49.6937
0,0.0602,5,1.8415,48.8275
0,0.1122,8,4.8986,50.237
0,0.1296,3,3.348,49.2309
0,0.0866,4,3.0402,50.0431
0,0.1283,8,2.1629,49.895
0,0.1127,7,3.6238,49.6121
0,0.0743,4,2.1328,49.8671
0,0.1168,7,0.8012,47.8609
