population,epsilon,lr,depth,reg,RMSE
0,50.848,0.0937,6,0.5745,48.3144
0,50.848,0.0767,9,1.4214,49.7094
0,50.848,0.1493,4,1.7439,48.4329
0,50.848,0.1464,5,1.5201,50.2256
0,50.848,0.1328,5,4.9255,49.898
0,50.848,0.093,9,1.8018,50.5702
0,50.848,0.0537,4,0.2363,50.4172
0,50.848,0.148,8,3.0516,48.519
0,50.848,0.0942,3,4.4908,50.5243
0,50.848,0.1043,3,0.8448,50.5566
0,50.848,0.0677,5,4.9046,50.3655
0,50.848,0.0707,10,1.6591,50.0822
0,50.848,0.0728,4,0.5161,48.9381
0,50.848,0.0837,5,2.8842,50.1753
0,50.848,0.1131,6,2.3502,49.2386
0,50.848,0.1031,6,3.7739,48.9012
0,50.848,0.1444,7,1.8091,48.5245
0,50.848,0.0602,4,0.7644,49.2434
0,50.848,0.0559,7,2.1363,50.1348
0,50.848,0.0927,5,3.3207,49.2312
0,50.848,0.1222,9,0.5577,49.504
0,50.848,0.1093,3,1.8351,49.6269
0,50.848,0.1023,5,4.5486,50.3176
0,50.848,0.0609,8,2.3932,50.6479
0,50.848,0.0605,10,1.8556,50.752
0,50.848,0.1274,4,4.7154,50.5394
0,50.848,0.0758,9,0.8717,49.3861
0,50.848,0.0485,7,1.2417,49.9888
0,50.848,0.0617,10,1.1152,49.5594
0,50.848,0.0781,6,2.0507,49.9486
0,50.848,0.1328,8,2.8997,49.3001
0,50.848,0.0765,3,1.4093,50.5743
0,50.848,0.1382,6,2.0304,49.5655
0,50.848,0.0959,6,3.4743,49.6379
0,50.848,0.1059,10,2.6027,49.049
0,50.848,0.1133,4,2.7408,50.2792
0,50.848,0.0624,5,0.1442,49.341
0,50.848,0.0976,8,4.7676,49.2324
0,50.848,0.0992,8,3.1131,50.1071
0,50.848,0.1316,5,1.4286,48.4048
0,50.848,0.0577,5,0.0205,49.8405
0,50.848,0.0995,4,0.6889,49.3048
0,50.848,0.0453,6,0.6163,49.9877
0,50.848,0.1444,4,2.9805,49.1787
0,50.848,0.0922,8,2.5265,49.7477
0,50.848,0.1084,6,2.4821,48.9227
0,50.848,0.1385,8,2.8941,49.5502
