population,lr,depth,reg,RMSE
0,0.1312,8,2.1545,49.6484
0,0.0917,6,2.644,49.7576
0,0.1118,10,2.7505,49.0156
0,0.1012,3,3.0594,49.6273
0,0.1274,9,2.5993,50.3006
0,0.1317,7,3.6544,50.0704
0,0.1043,8,2.0581,49.8505
0,0.0817,5,0.2965,48.2846
0,0.1362,4,0.5726,49.554
0,0.1366,5,3.9856,50.0806
0,0.1177,7,4.7354,49.0964
0,0.1283,4,4.1349,50.299
0,0.1217,9,1.9773,50.7459
0,0.0813,7,3.044,49.6555
0,0.1285,6,4.7878,49.1138
0,0.1121,3,3.3412,49.7597
0,0.0407,5,0.2502,50.3997
0,0.0536,9,1.1514,50.5775
0,0.1497,6,1.4076,48.5744
0,0.1356,7,2.4632,50.4509
0,0.1247,5,2.5363,49.1509
0,0.128,5,1.7394,49.5332
0,0.1053,5,1.4487,49.553
0,0.1121,5,3.7267,49.6575
0,0.1127,5,0.0647,49.3949
0,0.0734,5,4.1164,49.4621
0,0.1236,3,0.3917,49.7507
0,0.087,10,0.9116,49.2115
0,0.07,5,3.4187,50.1666
0,0.0858,3,3.847,50.62
0,0.0819,4,2.9566,50.6348
0,0.1331,8,4.2132,49.9268
0,0.0718,10,2.1467,50.4574
0,0.1414,7,4.1756,49.1378
0,0.1466,7,0.3465,48.5824
0,0.1089,8,3.508,49.2097
0,0.1451,6,1.8394,49.9511
0,0.1337,3,3.0427,49.3044
0,0.1089,7,3.0234,50.0641
0,0.1066,7,4.2249,49.7846
0,0.1415,5,1.3129,48.5704
0,0.0574,7,3.2128,49.9193
0,0.078,7,4.4024,49.6557
0,0.117,6,4.4956,50.1951
0,0.141,6,4.1182,49.6107
0,0.0577,6,2.5267,50.1698
0,0.1368,7,0.918,50.6127
0,0.1042,6,2.3873,48.8166
0,0.1326,4,1.5449,49.0682
0,0.1441,5,0.0828,50.5161
0,0.1111,6,1.9316,49.8971
0,0.0827,7,3.658,48.9196
0,0.1465,10,3.0178,47.4668
0,0.0734,7,3.9516,49.4131
